date,rainfall,site,year,month,tasmax,tasmin
2017-01-16,65.92230894302038,Hazelrigg,2017,1,6.838848661877057,2.2156828985647965
2017-01-16,48.909617558628426,Ainsdale,2017,1,7.269980870926204,2.906938489774083
2017-02-16,37.02532340891255,Wytham,2017,2,8.733827584059064,3.6809568798315073
2017-02-16,79.07245855510047,Hazelrigg,2017,2,8.183185951364338,3.815530237054902
2017-02-16,59.266897780463886,Ainsdale,2017,2,8.897358663559196,4.424131891570046
2017-03-16,45.32304789873969,Wytham,2017,3,12.794236309732975,5.3341669084535255
2017-03-16,96.95125979836448,Hazelrigg,2017,3,10.878305019638914,4.90570439610223
2017-03-16,75.74228657414722,Ainsdale,2017,3,11.547675184497102,5.505213887469536
2017-04-16,7.350369630464424,Wytham,2017,4,14.200365997808792,4.201222097858849
2017-04-16,20.787539441130527,Hazelrigg,2017,4,11.648591154115593,5.169202043179207
2017-04-16,15.263233294467344,Ainsdale,2017,4,12.103611606322902,6.651110879718818
2017-05-16,82.30280820309565,Wytham,2017,5,18.18300520106805,9.109704119288656
2017-05-16,50.048871071768275,Hazelrigg,2017,5,16.966645861866446,8.559958953950447
2017-05-16,32.90707796957039,Ainsdale,2017,5,17.654483614436817,9.17355578351139
2017-06-16,36.97219250098884,Wytham,2017,6,21.562858690023393,12.338875707724565
2017-06-16,142.47707847894137,Hazelrigg,2017,6,17.81407302966844,11.66383247798687
2017-06-16,81.85921085036759,Ainsdale,2017,6,18.51261204597063,12.703209617004633
2017-07-16,82.49221680538403,Wytham,2017,7,22.257000141656878,13.312887796037792
2017-07-16,152.66261535192592,Hazelrigg,2017,7,18.508123743991995,12.137511781972762
2017-07-16,76.44234590341624,Ainsdale,2017,7,19.421202353837497,12.981838735888882
2017-08-16,70.44262031445007,Wytham,2017,8,20.453314422946214,11.977362587489205
2017-08-16,108.55197341347576,Hazelrigg,2017,8,17.966659336309682,11.965322483385014
2017-08-16,92.42729235736431,Ainsdale,2017,8,18.74495000749548,13.166774450765315
2017-09-16,84.21713471554601,Wytham,2017,9,17.73917162000265,10.04054719781331
