date,site,tasmax
2025-03-23,Hazelrigg,12.54150390625
2025-03-23,Wytham,12.8212890625
2025-03-24,Ainsdale,11.100390625
2025-03-24,Hazelrigg,10.422607421875
2025-03-24,Wytham,13.140625
2025-03-25,Ainsdale,11.507533482142858
2025-03-25,Hazelrigg,12.134765625
2025-03-25,Wytham,14.5849609375
2025-03-26,Ainsdale,12.734123883928572
2025-03-26,Hazelrigg,11.553466796875
2025-03-26,Wytham,16.3125
2025-03-27,Ainsdale,14.577790178571428
2025-03-27,Hazelrigg,14.23828125
2025-03-27,Wytham,12.92578125
2025-03-28,Ainsdale,10.596707589285714
2025-03-28,Hazelrigg,9.309814453125
2025-03-28,Wytham,13.103515625
2025-03-29,Ainsdale,11.107338169642857
2025-03-29,Hazelrigg,9.966064453125
2025-03-29,Wytham,12.9912109375
2025-03-30,Ainsdale,12.089118303571428
2025-03-30,Hazelrigg,11.770751953125
2025-03-30,Wytham,15.8408203125
2025-03-31,Ainsdale,16.038113839285714
2025-03-31,Hazelrigg,14.2724609375
2025-03-31,Wytham,16.29296875
2025-04-01,Ainsdale,16.0927734375
2025-04-01,Hazelrigg,15.46337890625
2025-04-01,Wytham,14.369140625
2025-04-02,Ainsdale,16.480050223214285
2025-04-02,Hazelrigg,15.5478515625
2025-04-02,Wytham,16.310546875
2025-04-03,Ainsdale,18.039927455357144
2025-04-03,Hazelrigg,17.50146484375
2025-04-03,Wytham,18.232421875
2025-04-04,Ainsdale,18.477483258928572
2025-04-04,Hazelrigg,18.282470703125
2025-04-04,Wytham,21.1171875
2025-04-05,Ainsdale,15.68208705357143
2025-04-05,Hazelrigg,14.284912109375
2025-04-05,Wytham,17.375
2025-04-06,Ainsdale,16.0568359375
2025-04-06,Hazelrigg,15.298828125
2025-04-06,Wytham,15.904296875
2025-04-07,Ainsdale,14.818833705357143
2025-04-07,Hazelrigg,15.357421875
2025-04-07,Wytham,14.875
2025-04-08,Ainsdale,15.21919642857143
2025-04-08,Hazelrigg,15.372802734375
2025-04-08,Wytham,14.9814453125
2025-04-09,Ainsdale,14.691489955357143
2025-04-09,Hazelrigg,13.15380859375
2025-04-09,Wytham,14.4208984375
2025-04-10,Ainsdale,12.922293526785714
2025-04-10,Hazelrigg,11.7783203125
2025-04-10,Wytham,15.7890625
2025-04-11,Ainsdale,15.820200892857143
2025-04-11,Hazelrigg,16.4638671875
2025-04-11,Wytham,21.005859375
2025-04-12,Ainsdale,18.512555803571427
2025-04-12,Hazelrigg,18.76708984375
2025-04-12,Wytham,21.4052734375
2025-04-13,Ainsdale,11.796735491071429
2025-04-13,Hazelrigg,10.60107421875
2025-04-13,Wytham,14.2138671875
2025-04-14,Ainsdale,13.823381696428571
2025-04-14,Hazelrigg,13.161376953125
2025-04-14,Wytham,13.2509765625
2025-04-15,Ainsdale,11.47700892857143
2025-04-15,Hazelrigg,11.489990234375
2025-04-15,Wytham,14.1103515625
2025-04-16,Ainsdale,9.676925223214285
2025-04-16,Hazelrigg,9.13330078125
2025-04-16,Wytham,14.4150390625
2025-04-17,Ainsdale,12.960546875
2025-04-17,Hazelrigg,12.38134765625
2025-04-17,Wytham,14.974609375
2025-04-18,Ainsdale,12.662109375
2025-04-18,Hazelrigg,12.91748046875
2025-04-18,Wytham,14.279296875
2025-04-19,Ainsdale,13.825446428571428
2025-04-19,Hazelrigg,13.63623046875
2025-04-19,Wytham,16.29296875
2025-04-20,Ainsdale,15.0154296875
2025-04-20,Hazelrigg,14.9658203125
2025-04-20,Wytham,15.0068359375
2025-04-21,Ainsdale,13.468108258928572
2025-04-21,Hazelrigg,12.55810546875
2025-04-21,Wytham,15.1943359375
2025-04-22,Ainsdale,15.210184151785715
2025-04-22,Hazelrigg,14.7177734375
2025-04-22,Wytham,14.65625
2025-04-23,Ainsdale,16.539341517857142
2025-04-23,Hazelrigg,15.96630859375
2025-04-23,Wytham,13.849609375
2025-04-24,Ainsdale,15.892578125
2025-04-24,Hazelrigg,15.818115234375
2025-04-24,Wytham,14.2236328125
2025-04-25,Ainsdale,15.635658482142857
2025-04-25,Hazelrigg,14.755615234375
2025-04-25,Wytham,14.7119140625
