Site,Treatment,Block,Plot_nos,Individual_nos,Species,Date,Time_point,Survival,Height,Width_1,Width_2,Leaves,Flower,Seed,Notes_1,Notes_2
Wytham,NPK,C,NA,02,TA,26/06/2025,T4,yes,11,16,14,12,Dead,Dead,,
Wytham,CONT,D,NA,01,TA,26/06/2025,T4,yes,9,14,11,6,Dead,Dead,,
Wytham,CONT,D,NA,02,TA,26/06/2025,T4,yes,6.5,9,9,9,Dead,Dead,,
Wytham,DIST,D,NA,01,TA,26/06/2025,T4,yes,0.5,10,9,15,Dead,Dead,,
Wytham,DIST,D,NA,02,TA,26/06/2025,T4,yes,0.5,10,9,8,Dead,Dead,,
Wytham,NPK_DIST,D,NA,01,TA,26/06/2025,T4,yes,7,14,12,6,Dead,Dead,,
Wytham,NPK_DIST,D,NA,02,TA,26/06/2025,T4,yes,4.5,14,12,11,Dead,Dead,,
Wytham,NPK_DIST,D,NA,03,TA,26/06/2025,T4,yes,8,13,9,4,Dead,Dead,,
Wytham,NPK,D,NA,01,TA,26/06/2025,T4,yes,6,9,5,4,Dead,Dead,,
Wytham,NPK,D,NA,02,TA,26/06/2025,T4,yes,0.5,10,9,6,Dead,Dead,,
Wytham,CONT,E,NA,01,TA,26/06/2025,T4,yes,4,14,12,12,Dead,Dead,,
Wytham,CONT,E,NA,02,TA,26/06/2025,T4,yes,7,11,10,9,Dead,Dead,,
Wytham,DIST,E,NA,01,TA,26/06/2025,T4,yes,4.5,11,4,8,Dead,Dead,,
Wytham,DIST,E,NA,02,TA,26/06/2025,T4,yes,4.5,16,12,29,None,None,,
Wytham,NPK_CESS,E,NA,01,TA,26/06/2025,T4,yes,4,16,12,10,None,None,,
Wytham,NPK_CESS,E,NA,02,TA,26/06/2025,T4,yes,6,14,9,9,Dead,Dead,,
Wytham,NPK_DIST,E,NA,01,TA,26/06/2025,T4,yes,2.5,9,7,10,None,None,,
Wytham,NPK_DIST,E,NA,02,TA,26/06/2025,T4,yes,2,10,5,9,Dead,Dead,,
Wytham,NPK,E,NA,01,TA,26/06/2025,T4,yes,6,18,15,12,None,None,,
Wytham,NPK,E,NA,02,TA,26/06/2025,T4,yes,5,11,6,10,None,None,,
Hazelrigg,CONT,1,NA,01,AO,19/05/2025,T1,yes,29,90,NA,NA,12,None,,
Hazelrigg,CONT,1,NA,02,AO,19/05/2025,T1,yes,30,40,NA,NA,20,None,,
Hazelrigg,DIST,1,NA,01,AO,19/05/2025,T1,yes,32,80,NA,NA,5,None,,
Hazelrigg,DIST,1,NA,02,AO,19/05/2025,T1,yes,28,60,NA,NA,16,None,,
Hazelrigg,NPK,1,NA,01,AO,19/05/2025,T1,yes,30,30,NA,NA,6,None,,
Hazelrigg,NPK,1,NA,02,AO,19/05/2025,T1,yes,26,5,NA,NA,3,None,,
Hazelrigg,NPK_CESS,1,NA,01,AO,19/05/2025,T1,yes,30,60,NA,NA,11,None,,
Hazelrigg,NPK_CESS,1,NA,02,AO,19/05/2025,T1,yes,28,25,NA,NA,6,None,,
Hazelrigg,NPK_DIST,1,NA,01,AO,19/05/2025,T1,yes,25,5,NA,NA,18,None,,
Hazelrigg,NPK_DIST,1,NA,02,AO,19/05/2025,T1,yes,24,5,NA,NA,14,None,,
Hazelrigg,CONT,2,NA,01,AO,19/05/2025,T1,yes,26,25,NA,NA,4,None,,
Hazelrigg,CONT,2,NA,02,AO,19/05/2025,T1,yes,25,10,NA,NA,14,None,,
Hazelrigg,DIST,2,NA,01,AO,19/05/2025,T1,yes,30,20,NA,NA,13,None,,
Hazelrigg,DIST,2,NA,02,AO,19/05/2025,T1,yes,35,90,NA,NA,21,None,,
Hazelrigg,NPK,2,NA,01,AO,19/05/2025,T1,yes,23,30,NA,NA,17,None,,
Hazelrigg,NPK,2,NA,02,AO,19/05/2025,T1,yes,29,25,NA,NA,3,None,,
Hazelrigg,NPK_CESS,2,NA,01,AO,19/05/2025,T1,yes,32,60,NA,NA,4,None,,
Hazelrigg,NPK_CESS,2,NA,02,AO,19/05/2025,T1,yes,33,18,NA,NA,10,None,,
Hazelrigg,NPK_DIST,2,NA,01,AO,19/05/2025,T1,yes,32,30,NA,NA,14,None,,
Hazelrigg,NPK_DIST,2,NA,02,AO,19/05/2025,T1,yes,36,60,NA,NA,35,None,,
Hazelrigg,CONT,3,NA,01,AO,19/05/2025,T1,yes,31,25,NA,NA,4,None,,
Hazelrigg,CONT,3,NA,02,AO,19/05/2025,T1,yes,30,20,NA,NA,7,None,,
Hazelrigg,DIST,3,NA,01,AO,19/05/2025,T1,yes,35,70,NA,NA,16,None,,
Hazelrigg,DIST,3,NA,02,AO,19/05/2025,T1,yes,26,40,NA,NA,10,None,,
Hazelrigg,NPK,3,NA,01,AO,19/05/2025,T1,yes,29,80,NA,NA,6,None,,
Hazelrigg,NPK,3,NA,02,AO,19/05/2025,T1,yes,28,80,NA,NA,20,None,,
Hazelrigg,NPK_CESS,3,NA,01,AO,19/05/2025,T1,yes,22,90,NA,NA,6,None,,
Hazelrigg,NPK_CESS,3,NA,02,AO,19/05/2025,T1,yes,30,20,NA,NA,4,None,,
Hazelrigg,NPK_DIST,3,NA,01,AO,19/05/2025,T1,yes,29,40,NA,NA,11,None,,
Hazelrigg,NPK_DIST,3,NA,02,AO,19/05/2025,T1,yes,23,35,NA,NA,5,None,,
Hazelrigg,CONT,1,NA,01,AO,12/06/2025,T2,yes,50,70,NA,NA,17,None,,
Hazelrigg,CONT,1,NA,02,AO,12/06/2025,T2,yes,52,50,NA,NA,33,None,,
Hazelrigg,DIST,1,NA,01,AO,12/06/2025,T2,yes,49,80,NA,NA,17,None,,
Hazelrigg,DIST,1,NA,02,AO,12/06/2025,T2,yes,42,65,NA,NA,24,None,,
Hazelrigg,NPK,1,NA,01,AO,12/06/2025,T2,yes,30,30,NA,NA,4,None,,
Hazelrigg,NPK,1,NA,02,AO,12/06/2025,T2,yes,30,5,NA,NA,2,None,,
Hazelrigg,NPK_CESS,1,NA,01,AO,12/06/2025,T2,yes,45,65,NA,NA,8,None,,
Hazelrigg,NPK_CESS,1,NA,02,AO,12/06/2025,T2,yes,42,40,NA,NA,8,None,,
Hazelrigg,NPK_DIST,1,NA,01,AO,12/06/2025,T2,yes,35,10,NA,NA,15,None,,
Hazelrigg,NPK_DIST,1,NA,02,AO,12/06/2025,T2,yes,43,15,NA,NA,14,None,,
Hazelrigg,CONT,2,NA,01,AO,12/06/2025,T2,yes,30,50,NA,NA,17,None,,
Hazelrigg,CONT,2,NA,02,AO,12/06/2025,T2,yes,42,20,NA,NA,5,None,,
Hazelrigg,DIST,2,NA,01,AO,12/06/2025,T2,yes,38,30,NA,NA,16,None,,
Hazelrigg,DIST,2,NA,02,AO,12/06/2025,T2,yes,48,90,NA,NA,32,None,,
Hazelrigg,NPK,2,NA,01,AO,12/06/2025,T2,yes,42,30,NA,NA,22,None,,
Hazelrigg,NPK,2,NA,02,AO,12/06/2025,T2,yes,40,25,NA,NA,6,None,,
Hazelrigg,NPK_CESS,2,NA,01,AO,12/06/2025,T2,yes,29,50,NA,NA,6,None,,
Hazelrigg,NPK_CESS,2,NA,02,AO,12/06/2025,T2,yes,45,50,NA,NA,12,None,,
Hazelrigg,NPK_DIST,2,NA,01,AO,12/06/2025,T2,yes,43,40,NA,NA,13,None,,
Hazelrigg,NPK_DIST,2,NA,02,AO,12/06/2025,T2,yes,48,60,NA,NA,34,None,,
Hazelrigg,CONT,3,NA,01,AO,12/06/2025,T2,yes,33,40,NA,NA,5,None,,
Hazelrigg,CONT,3,NA,02,AO,12/06/2025,T2,yes,42,30,NA,NA,8,None,,
Hazelrigg,DIST,3,NA,01,AO,12/06/2025,T2,yes,52,80,NA,NA,31,None,,
Hazelrigg,DIST,3,NA,02,AO,12/06/2025,T2,yes,54,70,NA,NA,15,None,,
Hazelrigg,NPK,3,NA,01,AO,12/06/2025,T2,yes,40,80,NA,NA,9,None,,
Hazelrigg,NPK,3,NA,02,AO,12/06/2025,T2,yes,43,80,NA,NA,26,None,,
Hazelrigg,NPK_CESS,3,NA,01,AO,12/06/2025,T2,yes,28,95,NA,NA,8,None,,
Hazelrigg,NPK_CESS,3,NA,02,AO,12/06/2025,T2,yes,36,30,NA,NA,6,None,,
Hazelrigg,NPK_DIST,3,NA,01,AO,12/06/2025,T2,yes,44,51,NA,NA,22,None,,
Hazelrigg,NPK_DIST,3,NA,02,AO,12/06/2025,T2,yes,40,20,NA,NA,6,None,,
Hazelrigg,CONT,1,NA,01,AO,12/07/2025,T3,yes,46,85,NA,NA,None,12,,
Hazelrigg,CONT,1,NA,02,AO,12/07/2025,T3,yes,42,60,NA,NA,None,12,,
Hazelrigg,DIST,1,NA,01,AO,12/07/2025,T3,yes,45,70,NA,NA,None,20,,
Hazelrigg,DIST,1,NA,02,AO,12/07/2025,T3,yes,43,60,NA,NA,None,12,,
Hazelrigg,NPK,1,NA,01,AO,12/07/2025,T3,yes,30,10,NA,NA,None,6,,
Hazelrigg,NPK,1,NA,02,AO,12/07/2025,T3,yes,34,10,NA,NA,None,3,,
